ID,work_year,experience_level,employment_type,job_title
15640,2022,EX,FT,Analytics Engineer
15065,2022,SE,FT,Data Engineer
13046,2022,EX,FT,Analytics Engineer
16852,2022,SE,FT,Data Engineer
11591,2022,MI,FT,Data Engineer
13227,2020,MI,FT,Data Engineer
10446,2021,SE,FT,Data Analyst
19234,2022,MI,FT,Data Scientist
15816,2022,SE,FT,Data Scientist
15570,2022,MI,FT,Data Scientist
17687,2022,MI,FT,Data Engineer
19673,2022,SE,FT,Data Engineer
16233,2022,SE,FT,Data Analyst
10492,2022,SE,FT,Data Engineer
12443,2021,MI,FT,Data Engineer
13021,2022,SE,FT,Research Scientist
18414,2022,SE,FT,Data Analyst
19190,2022,SE,FT,Data Scientist
14921,2021,SE,FT,Machine Learning Scientist
14963,2021,MI,FT,Machine Learning Engineer
12424,2022,SE,FT,Data Analyst
16378,2021,EN,FT,Business Data Analyst
19990,2021,EN,FT,Machine Learning Developer
15793,2022,MI,FT,Data Engineer
15792,2022,SE,FT,Data Analyst
14644,2021,MI,FT,Data Scientist
11240,2021,MI,FT,Data Scientist
12935,2022,MI,FT,Data Analyst
19238,2022,MI,FT,Data Engineer
15148,2022,MI,FT,Data Scientist
19252,2021,SE,FT,Data Engineer
17818,2022,MI,FT,Data Analyst
14142,2021,SE,FT,Data Scientist
11502,2022,MI,FT,Data Engineer
16160,2021,SE,FT,Data Scientist
16354,2021,MI,FT,Data Engineer
16978,2022,SE,FT,Data Analyst
11737,2022,SE,FT,Head of Data
15699,2021,MI,FT,Research Scientist
18962,2020,MI,FT,Data Scientist
11355,2022,SE,FT,Data Engineer
16534,2020,MI,FT,Data Engineering Manager
17644,2020,MI,FT,Data Scientist
13973,2021,SE,FT,Machine Learning Engineer
14140,2022,SE,FT,Machine Learning Engineer
15820,2022,MI,FT,Data Scientist
19158,2021,EX,FT,Head of Data
19336,2022,MI,FT,Business Data Analyst
14065,2022,SE,FT,Data Analyst
18998,2022,MI,FT,Data Analyst
16211,2021,SE,FT,Director of Data Engineering
13297,2022,SE,FT,Data Scientist
19357,2021,SE,FT,Lead Data Scientist
13286,2021,SE,FT,Principal Data Analyst
17427,2022,MI,FT,Data Analyst
10249,2021,SE,FT,Computer Vision Engineer
18474,2022,SE,FT,Machine Learning Developer
14883,2022,MI,FT,Data Science Manager
