ID,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
19043,215300,USD,215300,US,0,US,L
19783,276000,USD,276000,US,0,US,L
13270,95000,GBP,124333,GB,0,GB,M
10519,60000,GBP,76958,GB,100,GB,S
13928,216000,USD,216000,US,100,US,M
18114,130000,USD,130000,US,100,US,M
13297,123000,USD,123000,US,100,US,M
10490,100000,USD,100000,US,100,US,M
17091,78000,USD,78000,US,100,US,M
14674,423000,INR,5707,IN,50,IN,M
15338,106260,USD,106260,US,100,US,M
10953,60000,GBP,82528,GB,100,GB,L
10664,80000,USD,80000,US,100,US,L
13286,170000,USD,170000,US,100,US,M
10048,93700,USD,93700,US,100,US,M
10505,159500,CAD,127221,CA,50,CA,L
11777,214000,USD,214000,US,100,US,M
12722,152500,USD,152500,US,100,US,M
17464,110925,USD,110925,US,100,US,M
13835,8000,USD,8000,PK,50,PK,L
11591,75000,GBP,98158,GB,0,GB,M
16271,42000,USD,42000,NL,50,NL,L
12421,90000,USD,90000,US,100,US,M
16160,110000,CAD,87738,CA,100,CA,S
16944,136994,USD,136994,US,100,US,M
17619,135000,USD,135000,US,100,US,M
12390,99000,USD,99000,US,0,US,M
12267,129000,USD,129000,US,0,US,M
19081,720000,MXN,33511,MX,0,MX,S
12403,412000,USD,412000,US,100,US,L
16340,157000,CAD,117104,CA,50,CA,L
10499,59000,EUR,69741,NL,100,NL,L
10433,125000,CAD,99703,CA,50,CA,M
14751,100000,EUR,114047,PL,100,GB,S
19480,65000,USD,65000,US,100,US,S
16759,1799997,INR,24342,IN,100,IN,L
14963,90000,USD,90000,US,100,US,S
12463,75000,USD,75000,US,0,US,L
17620,123000,USD,123000,US,100,US,M
19415,170000,USD,170000,US,100,US,M
14341,125000,USD,125000,US,100,US,S
15301,75000,GBP,103160,GB,100,GB,S
10272,109000,USD,109000,US,50,US,L
14756,105000,USD,105000,US,100,US,M
13122,80000,GBP,110037,GB,0,GB,L
15963,65000,EUR,76833,RO,50,GB,S
19327,115000,USD,115000,US,50,US,L
10652,30400000,CLP,40038,CL,100,CL,L
12630,80000,EUR,87932,DE,0,DE,M
19027,128875,USD,128875,US,100,US,M
15640,135000,USD,135000,US,100,US,M
14494,75000,USD,75000,BO,100,US,L
11086,105000,USD,105000,US,100,US,M
10530,165000,USD,165000,US,100,US,L
17167,118000,USD,118000,US,100,US,M
18060,189650,USD,189650,US,0,US,M
10379,200000,USD,200000,US,100,US,L
13960,55000,EUR,65013,DE,50,DE,M
19574,190200,USD,190200,US,100,US,M
18962,11000000,HUF,35735,HU,50,HU,L
18058,102100,USD,102100,US,100,US,M
17313,135000,USD,135000,US,100,US,L
19190,180000,USD,180000,US,100,US,M
12528,126000,USD,126000,US,100,US,M
15016,165220,USD,165220,US,100,US,M
13059,435000,INR,5882,IN,0,CH,L
10235,52500,GBP,72212,GB,50,GB,L
10387,132320,USD,132320,US,100,US,M
18490,140400,USD,140400,US,0,US,M
16558,63900,USD,63900,US,0,US,M
11192,4450000,JPY,41689,JP,100,JP,S
17331,80000,USD,80000,US,100,US,M
18598,154000,USD,154000,US,100,US,M
11290,90320,USD,90320,US,100,US,M
17330,30000,GBP,39263,GB,0,GB,M
12612,324000,USD,324000,US,100,US,M
10733,700000,INR,9466,IN,0,IN,S
13398,60000,USD,60000,AR,100,MX,L
15840,144000,USD,144000,US,100,US,M
14883,159000,USD,159000,US,100,US,M
14510,250000,USD,250000,US,50,US,L
13967,185100,USD,185100,US,100,US,M
19659,100000,USD,100000,US,100,US,L
19783,4900000,INR,66265,IN,0,IN,L
12857,38400,EUR,45391,NL,100,NL,L
12935,30000,GBP,39263,GB,100,GB,M
16677,73000,USD,73000,US,0,US,L
14050,105400,USD,105400,US,100,US,M
12205,188000,USD,188000,US,100,US,L
17205,115000,USD,115000,US,100,US,M
18209,120000,SGD,89294,SG,50,SG,L
16930,112900,USD,112900,US,100,US,M
19550,50000,EUR,59102,FR,50,FR,M
10130,34000,EUR,40189,GR,100,GR,M
14164,160000,USD,160000,US,0,US,L
14894,55000,USD,55000,US,50,US,S
10684,167875,USD,167875,US,100,US,M
18309,105000,USD,105000,US,100,US,M
18567,75000,USD,75000,CA,0,CA,M
11011,266400,USD,266400,US,100,US,M
15471,58000,USD,58000,US,50,US,L
10565,40000,EUR,45618,HR,100,HR,S
17670,112900,USD,112900,US,100,US,M
12245,22000,EUR,26005,RO,0,US,L
18357,192400,USD,192400,CA,100,CA,M
13973,80000,EUR,94564,DE,50,DE,L
11298,61300,USD,61300,CA,100,CA,M
19990,100000,USD,100000,IQ,50,IQ,S
18762,1600000,INR,21637,IN,50,IN,M
16196,147000,EUR,173762,DE,100,DE,M
13117,140000,USD,140000,US,100,US,L
16976,2100000,INR,28399,IN,100,IN,M
11642,135000,USD,135000,US,100,US,M
10070,210000,USD,210000,US,100,US,M
13082,102100,USD,102100,US,0,US,M
15707,82500,USD,82500,US,100,US,S
15820,48000,USD,48000,RU,100,US,S
11520,110000,PLN,28476,PL,100,PL,L
12480,75000,GBP,98158,GB,0,GB,M
12890,4000000,INR,54094,IN,50,US,L
10873,150000,USD,150000,US,50,US,L
11724,35000,GBP,45807,GB,0,GB,M
16692,416000,USD,416000,US,100,US,S
17268,81666,USD,81666,US,0,US,M
16066,150000,USD,150000,US,100,US,M
13059,81666,USD,81666,US,100,US,M
14596,100000,USD,100000,US,100,US,M
17310,59000,EUR,69741,FR,100,ES,S
11482,120500,CAD,96113,CA,50,CA,L
14056,48000,EUR,54742,PK,100,DE,L
15910,43200,EUR,51064,IT,50,IT,L
11502,75000,GBP,98158,GB,100,GB,M
16387,20000,USD,20000,IN,100,IN,S
12890,180000,PLN,46597,PL,100,PL,L
16074,91000,USD,91000,US,100,US,L
16189,55000,EUR,62726,DE,50,DE,S
13607,50000,GBP,65438,GB,0,GB,M
17904,170000,USD,170000,US,100,US,M
19695,240000,CNY,37236,US,50,US,L
11009,120000,USD,120000,US,0,US,L
16392,145000,USD,145000,US,100,US,M
15088,200000,USD,200000,IN,100,US,L
12889,150000,USD,150000,US,100,US,M
12370,110000,USD,110000,US,100,US,L
12301,230000,USD,230000,US,100,US,M
13894,18000,USD,18000,MD,0,MD,S
18088,6000000,INR,79039,IN,50,IN,L
12573,28500,GBP,37300,GB,100,GB,L
10457,80000,EUR,87932,FR,100,DE,M
18028,81000,EUR,95746,DE,100,US,S
18774,50000,GBP,65438,GB,0,GB,M
14921,120000,USD,120000,US,50,US,S
16549,112300,USD,112300,US,100,US,L
19725,220110,USD,220110,US,100,US,M
11887,170000,USD,170000,US,100,US,L
11136,170000,USD,170000,US,100,US,L
15033,60000,EUR,68428,GR,100,US,L
15022,205300,USD,205300,US,0,US,M
19034,40000,GBP,52351,GB,100,GB,M
14510,87000,EUR,102839,SI,100,SI,L
15024,74000,USD,74000,JP,50,JP,S
12691,420000,INR,5679,IN,100,US,S
14134,40000,GBP,52351,GB,100,GB,M
10286,200000,USD,200000,US,100,US,M
17410,250000,CAD,196979,CA,50,CA,L
11315,7000000,INR,94665,IN,50,IN,L
17326,132000,USD,132000,US,0,US,M
10098,50000,USD,50000,VN,100,GB,M
17465,210000,USD,210000,US,100,US,M
15196,130800,USD,130800,ES,100,US,M
14442,155000,USD,155000,US,100,US,M
18927,180000,DKK,28609,DK,50,DK,S
15997,150000,USD,150000,US,0,US,M
11299,130000,CAD,103691,CA,100,CA,L
16187,44000,EUR,50180,PT,0,PT,M
15793,170000,USD,170000,US,100,US,M
13118,76760,EUR,90734,DE,50,DE,L
19911,100000,USD,100000,US,100,US,M
17134,40000,EUR,43966,ES,100,ES,M
10093,154600,USD,154600,US,100,US,L
19336,90000,CAD,70912,CA,50,CA,L
11681,60000,USD,60000,US,100,US,S
17373,135000,USD,135000,US,100,US,L
12443,111775,USD,111775,US,0,US,M
16354,200000,USD,200000,US,100,US,L
12711,140000,USD,140000,US,100,US,M
18797,209100,USD,209100,US,100,US,L
13266,120600,USD,120600,US,100,US,M
16292,120000,USD,120000,US,0,US,L
14121,140000,USD,140000,US,100,US,M
16239,82900,USD,82900,US,0,US,M
11932,132320,USD,132320,US,0,US,M
17427,20000,USD,20000,GR,100,GR,S
11213,120000,USD,120000,US,100,US,S
10586,120000,USD,120000,US,50,US,L
11207,45000,GBP,61896,GB,50,GB,L
15148,160000,USD,160000,US,100,US,M
16372,101570,USD,101570,US,100,US,M
13570,195000,USD,195000,US,100,US,M
16852,140250,USD,140250,US,100,US,M
11614,136620,USD,136620,US,100,US,M
19596,160000,USD,160000,PR,50,US,S
16806,103000,USD,103000,US,100,US,L
15701,299000,CNY,43331,CN,0,CN,M
13382,165000,USD,165000,US,100,US,M
11789,176000,USD,176000,US,100,US,M
19272,42000,EUR,47899,GR,50,GR,L
16208,58000,USD,58000,US,0,US,S
10176,144854,USD,144854,US,100,US,M
19283,21600,EUR,25532,RS,100,DE,S
17396,230000,USD,230000,US,100,US,M
11768,185000,USD,185000,US,50,US,L
13306,65000,EUR,76833,DE,100,DE,S
15915,69600,BRL,12901,BR,0,BR,S
17138,115934,USD,115934,US,100,US,M
17671,99000,USD,99000,US,0,US,M
16609,148000,EUR,162674,DE,100,DE,M
15541,120000,USD,120000,US,100,US,L
18010,150260,USD,150260,US,100,US,M
16754,190000,USD,190000,US,100,US,S
19238,62000,EUR,68147,FR,100,FR,M
10020,135000,USD,135000,US,100,US,M
14518,1400000,INR,18442,IN,100,IN,M
15870,153000,USD,153000,US,100,US,L
16873,90320,USD,90320,US,100,US,M
13538,45000,EUR,51321,FR,0,FR,S
14147,53000,EUR,62649,FR,50,FR,M
16031,10000,USD,10000,PT,100,LU,M
18606,110000,EUR,130026,DE,50,DE,M
16254,130000,EUR,153667,IT,100,PL,L
11782,141300,USD,141300,US,0,US,M
16469,130000,USD,130000,US,100,US,M
19238,75000,USD,75000,CA,100,CA,S
16233,90320,USD,90320,US,100,US,M
11209,450000,USD,450000,US,100,US,L
12435,80000,CAD,63810,CA,100,CA,M
16353,99050,USD,99050,US,100,US,M
19904,45000,EUR,49461,ES,100,ES,M
18160,160000,USD,160000,BR,100,US,S
10729,53000,EUR,58255,PT,50,PT,L
12521,165000,USD,165000,US,0,US,M
11409,105000,USD,105000,US,100,US,S
15571,140400,USD,140400,US,0,US,L
15816,158200,USD,158200,US,100,US,L
12251,56000,USD,56000,PT,100,US,M
11512,116000,USD,116000,US,0,US,M
18170,150000,CAD,118187,CA,100,CA,S
16900,19000,EUR,21669,IT,50,IT,S
16842,38400,USD,38400,VN,100,US,M
14035,100000,USD,100000,US,100,US,M
