"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"25/10/2024","310","322","330","302","389,56M","-3,13%"
"24/10/2024","320","358","358","314","662,47M","-10,11%"
"23/10/2024","356","400","406","350","565,22M","-10,55%"
"22/10/2024","398","420","420","382","574,53M","-2,93%"
"21/10/2024","410","376","416","368","796,66M","11,41%"
"18/10/2024","368","332","398","330","885,64M","10,84%"
"17/10/2024","332","282","340","278","808,64M","18,57%"
"16/10/2024","280","274","280","270","223,96M","2,19%"
"15/10/2024","274","270","278","268","203,66M","1,48%"
"14/10/2024","270","266","270","262","180,56M","2,27%"
"11/10/2024","264","264","268","260","131,94M","0,76%"
"10/10/2024","262","272","272","260","175,20M","-2,96%"
"09/10/2024","270","268","274","266","158,55M","0,75%"
"08/10/2024","268","276","280","266","218,65M","-2,90%"
"07/10/2024","276","282","284","272","138,25M","-2,13%"
"04/10/2024","282","282","284","276","128,48M","0,71%"
"03/10/2024","280","284","296","278","259,07M","-1,41%"
"02/10/2024","284","280","316","276","535,63M","1,43%"
"01/10/2024","280","276","280","272","212,99M","1,45%"
"30/09/2024","276","270","280","266","254,47M","2,22%"
"27/09/2024","270","280","282","264","175,30M","-2,88%"
"26/09/2024","278","280","284","274","227,11M","-0,71%"
"25/09/2024","280","276","286","274","336,31M","2,19%"
"24/09/2024","274","268","280","260","287,43M","3,01%"
"23/09/2024","266","262","274","260","251,91M","1,53%"
"20/09/2024","262","266","272","258","194,74M","-1,50%"
"19/09/2024","266","268","272","256","260,33M","0,00%"
"18/09/2024","266","286","290","262","300,37M","-6,34%"
"17/09/2024","284","266","288","260","360,70M","7,58%"
"13/09/2024","264","272","282","252","354,82M","-2,22%"
"12/09/2024","270","296","300","266","309,15M","-8,16%"
"11/09/2024","294","286","304","274","620,67M","2,08%"
"10/09/2024","288","238","294","232","611,94M","22,03%"
"09/09/2024","236","230","238","224","148,75M","2,61%"
"06/09/2024","230","236","240","226","137,15M","-2,54%"
"05/09/2024","236","236","242","230","139,51M","0,00%"
"04/09/2024","236","230","244","226","215,97M","2,61%"
"03/09/2024","230","232","234","224","138,10M","0,00%"
"02/09/2024","230","240","244","228","149,26M","-4,17%"
"30/08/2024","240","230","242","218","250,00M","4,35%"
"29/08/2024","230","234","240","228","147,22M","-1,71%"
"28/08/2024","234","220","240","216","215,90M","6,36%"
"27/08/2024","220","224","226","214","140,68M","-1,79%"
"26/08/2024","224","226","228","220","143,98M","0,00%"
"23/08/2024","224","222","228","220","138,00M","1,82%"
"22/08/2024","220","222","228","218","166,74M","-0,90%"
"21/08/2024","222","238","242","218","220,99M","-6,72%"
"20/08/2024","238","240","244","234","129,99M","0,00%"
"19/08/2024","238","240","244","234","141,87M","1,71%"
"16/08/2024","234","244","248","232","154,92M","-4,10%"
"15/08/2024","244","236","248","230","172,30M","4,27%"
"14/08/2024","234","240","244","232","134,72M","-2,50%"
"13/08/2024","240","252","258","228","176,74M","-4,00%"
"12/08/2024","250","250","256","242","127,10M","0,81%"
"09/08/2024","248","252","264","240","231,51M","-0,80%"
"08/08/2024","250","224","254","216","310,94M","11,61%"
"07/08/2024","224","214","224","210","150,84M","5,66%"
"06/08/2024","212","210","220","208","142,45M","1,92%"
"05/08/2024","208","222","222","206","240,53M","-7,14%"
"02/08/2024","224","218","228","214","173,56M","2,75%"
"01/08/2024","218","222","224","212","149,11M","-0,91%"
"31/07/2024","220","208","222","202","186,52M","6,80%"
"30/07/2024","206","218","218","202","157,01M","-4,63%"
"29/07/2024","216","204","222","204","188,67M","6,93%"
"26/07/2024","202","206","220","202","162,00M","-1,94%"
"25/07/2024","206","210","216","200","204,45M","-2,83%"
"24/07/2024","212","194","212","193","159,30M","9,28%"
"23/07/2024","194","178","196","175","184,64M","8,99%"
"22/07/2024","178","180","181","173","119,92M","-1,11%"
"19/07/2024","180","194","195","179","151,27M","-8,16%"
"18/07/2024","196","194","198","190","199,37M","1,03%"
"17/07/2024","194","193","196","186","257,34M","4,86%"
"16/07/2024","185","175","193","174","264,32M","6,32%"
"15/07/2024","174","176","180","170","123,03M","-1,14%"
"12/07/2024","176","192","195","173","211,81M","-7,85%"
"11/07/2024","191","164","198","164","303,55M","17,18%"
"10/07/2024","163","160","165","155","136,78M","2,52%"
"09/07/2024","159","160","161","154","86,68M","-0,63%"
"08/07/2024","160","161","163","157","96,49M","-0,62%"
"05/07/2024","161","160","164","155","99,56M","0,63%"
"04/07/2024","160","158","160","155","105,57M","1,91%"
"03/07/2024","157","155","158","152","109,57M","1,29%"
"02/07/2024","155","162","163","152","133,92M","-3,73%"
"01/07/2024","161","155","165","150","154,62M","3,87%"
"28/06/2024","155","149","155","144","125,42M","4,73%"
"27/06/2024","148","144","150","141","131,76M","3,50%"
"26/06/2024","143","145","146","140","86,76M","-1,38%"
"25/06/2024","145","143","147","142","82,29M","2,11%"
"24/06/2024","142","143","145","140","77,82M","-0,70%"
"21/06/2024","143","152","154","140","106,18M","-5,30%"
"20/06/2024","151","144","151","140","95,38M","4,86%"
"19/06/2024","144","139","146","137","87,51M","3,60%"
"14/06/2024","139","138","141","136","77,01M","0,72%"
"13/06/2024","138","140","143","136","73,49M","-1,43%"
"12/06/2024","140","154","156","139","81,75M","-9,68%"
"11/06/2024","155","155","158","151","67,17M","0,00%"
"10/06/2024","155","162","163","154","68,20M","-3,73%"
"07/06/2024","161","167","168","160","65,26M","-3,01%"
"06/06/2024","166","168","170","163","70,64M","0,00%"
"05/06/2024","166","161","173","158","129,26M","3,11%"
"04/06/2024","161","152","165","150","121,24M","5,92%"
"03/06/2024","152","156","158","150","68,59M","-2,56%"
"31/05/2024","156","155","157","150","85,27M","1,30%"
"30/05/2024","154","150","154","147","112,57M","3,36%"
"29/05/2024","149","148","153","145","88,67M","0,68%"
"28/05/2024","148","155","157","147","68,54M","-4,52%"
"27/05/2024","155","161","164","152","68,89M","-3,73%"
"22/05/2024","161","164","166","158","68,45M","-1,23%"
"21/05/2024","163","162","166","159","74,99M","1,24%"
"20/05/2024","161","162","166","159","76,43M","0,00%"
"17/05/2024","161","162","163","158","69,08M","0,00%"
"16/05/2024","161","165","168","160","67,17M","-1,23%"
"15/05/2024","163","154","165","154","113,83M","5,84%"
"14/05/2024","154","151","155","148","77,45M","1,99%"
"13/05/2024","151","151","157","147","95,59M","0,67%"
"08/05/2024","150","174","175","147","72,00M","-13,79%"
"07/05/2024","174","167","176","167","108,01M","4,19%"
"06/05/2024","167","165","170","156","65,18M","1,21%"
"03/05/2024","165","181","182","137","123,44M","-8,33%"
"02/05/2024","180","169","182","169","60,92M","0,56%"
"30/04/2024","179","170","186","170","64,52M","-0,56%"
"29/04/2024","180","166","184","166","81,72M","2,27%"
"26/04/2024","176","164","181","164","79,28M","1,15%"
"25/04/2024","174","166","177","166","72,12M","-0,57%"
"24/04/2024","175","174","178","171","80,68M","0,57%"
"23/04/2024","174","173","185","173","61,24M","-4,40%"
"22/04/2024","182","180","190","180","55,09M","-3,70%"
"19/04/2024","189","188","193","186","59,66M","1,61%"
"18/04/2024","186","189","192","184","54,42M","-1,59%"
"17/04/2024","189","197","198","188","55,36M","-3,57%"
